model,scaler,balancing_name,training_time,f1,best_params
XGBClassifier,passthrough,SMOTE,148.86632585525513,0.7646690685198306,"{'clf__colsample_bytree': np.float64(0.8333302326101937), 'clf__gamma': np.float64(0.6380808989191322), 'clf__learning_rate': np.float64(0.13098414809746894), 'clf__max_depth': 15, 'clf__n_estimators': 253, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.7839641940506394), 'clf__reg_lambda': np.float64(0.00861623813077883), 'clf__subsample': np.float64(0.9313522690478231)}"
XGBClassifier,StandardScaler,passthrough,145.4921498298645,0.7530049041439686,"{'clf__colsample_bytree': np.float64(0.9347015621050506), 'clf__gamma': np.float64(0.34892349426974334), 'clf__learning_rate': np.float64(0.17913294897122078), 'clf__max_depth': 4, 'clf__n_estimators': 460, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.392198636000305), 'clf__reg_lambda': np.float64(0.5441917882482326), 'clf__subsample': np.float64(0.8134812402837115)}"
XGBClassifier,StandardScaler,RandomOverSampler,151.22111988067627,0.7713077545887849,"{'clf__colsample_bytree': np.float64(0.8616833757353615), 'clf__gamma': np.float64(0.060861325775790065), 'clf__learning_rate': np.float64(0.17646471585374673), 'clf__max_depth': 4, 'clf__n_estimators': 331, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.05002083589626305), 'clf__reg_lambda': np.float64(0.15069568420188084), 'clf__subsample': np.float64(0.7404542402931508)}"
XGBClassifier,StandardScaler,RandomUnderSampler,135.2955448627472,0.6222042503729162,"{'clf__colsample_bytree': np.float64(0.8934997449378126), 'clf__gamma': np.float64(0.06332038560435127), 'clf__learning_rate': np.float64(0.06437879294878011), 'clf__max_depth': 18, 'clf__n_estimators': 170, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.5876618284183033), 'clf__reg_lambda': np.float64(0.2568828009052735), 'clf__subsample': np.float64(0.7302526380764114)}"
XGBClassifier,StandardScaler,SMOTE,152.4193799495697,0.7730164479583848,"{'clf__colsample_bytree': np.float64(0.8015095943478554), 'clf__gamma': np.float64(0.23796911809522647), 'clf__learning_rate': np.float64(0.08206792727475913), 'clf__max_depth': 9, 'clf__n_estimators': 314, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.4385568680600963), 'clf__reg_lambda': np.float64(0.7428660436527607), 'clf__subsample': np.float64(0.9426189176771028)}"
XGBClassifier,MinMaxScaler,passthrough,139.6437349319458,0.7564068076499286,"{'clf__colsample_bytree': np.float64(0.8354822274437149), 'clf__gamma': np.float64(0.12996581398328488), 'clf__learning_rate': np.float64(0.15674040675680856), 'clf__max_depth': 4, 'clf__n_estimators': 458, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.8202789130458047), 'clf__reg_lambda': np.float64(0.9475062639618393), 'clf__subsample': np.float64(0.8805113563580034)}"
XGBClassifier,MinMaxScaler,RandomOverSampler,150.49255418777466,0.7702342954304394,"{'clf__colsample_bytree': np.float64(0.8851053061675365), 'clf__gamma': np.float64(1.1830584490961087), 'clf__learning_rate': np.float64(0.18520071722372677), 'clf__max_depth': 7, 'clf__n_estimators': 461, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.44686898183454093), 'clf__reg_lambda': np.float64(0.2646538297414377), 'clf__subsample': np.float64(0.9879124312644998)}"
XGBClassifier,MinMaxScaler,RandomUnderSampler,136.18758916854858,0.6248148332828952,"{'clf__colsample_bytree': np.float64(0.8407244574816425), 'clf__gamma': np.float64(0.5764734798614501), 'clf__learning_rate': np.float64(0.056363085165023134), 'clf__max_depth': 9, 'clf__n_estimators': 174, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.9408722529976918), 'clf__reg_lambda': np.float64(0.723435327246405), 'clf__subsample': np.float64(0.9331865474269069)}"
XGBClassifier,MinMaxScaler,SMOTE,145.5591390132904,0.7756711459637239,"{'clf__colsample_bytree': np.float64(0.880335625095866), 'clf__gamma': np.float64(0.3025071144016367), 'clf__learning_rate': np.float64(0.14447520413936032), 'clf__max_depth': 9, 'clf__n_estimators': 317, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(0.44518605902055786), 'clf__reg_lambda': np.float64(0.6077641247044583), 'clf__subsample': np.float64(0.8529689148648844)}"
LGBMClassifier,passthrough,passthrough,379.7420938014984,0.7697501145228581,"{'clf__learning_rate': np.float64(0.09458076440921306), 'clf__min_split_gain': np.float64(0.0006522972263457349), 'clf__n_estimators': 477, 'clf__num_leaves': 42, 'clf__random_state': 42, 'clf__reg_alpha': np.float64(3.7822278361518194e-05), 'clf__verbose': -1}"
