model,scaler,balancing name,time_training,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score
DecisionTreeClassifier,None,RandomUnderSampler,0.028869152069091797,0.7539512254454783,0.7549384333241873,0.7539512254454783,0.7537226420811066,0.7539847827147247
RandomForestClassifier,StandardScaler,SMOTE,3.665958881378174,0.9658779813088507,0.9660146437802648,0.9658779813088507,0.9658754023744921,0.9938852098742939
RandomForestClassifier,MinMaxScaler,SMOTE,3.6733949184417725,0.9658779813088507,0.9660146437802648,0.9658779813088507,0.9658754023744921,0.9938805047466065
RandomForestClassifier,None,SMOTE,3.718852996826172,0.9659405987164901,0.9660775912690605,0.9659405987164901,0.9659380140799276,0.993882739682258
RandomForestClassifier,StandardScaler,RandomOverSampler,19.527782201766968,0.9942399236439998,0.9942936325982114,0.9942399236439998,0.9942397651189353,0.9999061794447537
RandomForestClassifier,MinMaxScaler,RandomOverSampler,2.55216908454895,0.9942399236439998,0.9942936325982114,0.9942399236439998,0.9942397651189353,0.9999061794447537
RandomForestClassifier,None,RandomOverSampler,2.5396690368652344,0.9942399236439998,0.9942936325982114,0.9942399236439998,0.9942397651189353,0.9999061794447537
RandomForestClassifier,StandardScaler,RandomUnderSampler,0.324099063873291,0.870311986863711,0.8743801401766003,0.870311986863711,0.8699546138168053,0.9147052852291949
RandomForestClassifier,MinMaxScaler,RandomUnderSampler,0.3097059726715088,0.870311986863711,0.8743801401766003,0.870311986863711,0.8699546138168053,0.9147052852291949
RandomForestClassifier,None,RandomUnderSampler,0.3127169609069824,0.870311986863711,0.8743801401766003,0.870311986863711,0.8699546138168053,0.9147052852291949
XGBClassifier,StandardScaler,SMOTE,0.23844385147094727,0.9695092617907403,0.9695537116393721,0.9695092617907403,0.9695085434217559,0.9947743539199039
XGBClassifier,MinMaxScaler,SMOTE,0.15981078147888184,0.9701978572891464,0.9702339612260467,0.9701978572891464,0.9701972579270007,0.9946720530688387
XGBClassifier,None,SMOTE,0.15816092491149902,0.9701352398815072,0.9701797180621984,0.9701352398815072,0.9701345282580258,0.9947173791322269
XGBClassifier,StandardScaler,RandomOverSampler,0.16314315795898438,0.9911092884447854,0.9912381271043456,0.9911092884447854,0.9911086736956738,0.9990234922888568
XGBClassifier,MinMaxScaler,RandomOverSampler,0.15583276748657227,0.9911092884447854,0.9912381271043456,0.9911092884447854,0.9911086736956738,0.9990234922888568
XGBClassifier,None,RandomOverSampler,0.1550309658050537,0.9911092884447854,0.9912381271043456,0.9911092884447854,0.9911086736956738,0.9990234922888568
XGBClassifier,StandardScaler,RandomUnderSampler,0.1377851963043213,0.8555166332177826,0.85725238857704,0.8555166332177826,0.8553369979476193,0.9074813033488551
XGBClassifier,MinMaxScaler,RandomUnderSampler,0.12943005561828613,0.8555166332177826,0.85725238857704,0.8555166332177826,0.8553369979476193,0.9074813033488551
XGBClassifier,None,RandomUnderSampler,0.1294841766357422,0.8555166332177826,0.85725238857704,0.8555166332177826,0.8553369979476193,0.9074813033488551
LGBMClassifier,StandardScaler,SMOTE,0.48389387130737305,0.949036015298638,0.9491510185302194,0.949036015298638,0.9490328393747097,0.9890116781686322
LGBMClassifier,MinMaxScaler,SMOTE,0.4029507637023926,0.950350530092123,0.9504188517995648,0.950350530092123,0.9503486345353036,0.9888847516567871
LGBMClassifier,None,SMOTE,0.3970680236816406,0.9503507652748748,0.9504255881413082,0.9503507652748748,0.9503487267747044,0.988635296808619
LGBMClassifier,StandardScaler,RandomOverSampler,0.4089479446411133,0.9800275555790738,0.9802348412596423,0.9800275555790738,0.9800253650383199,0.9968106796933286
LGBMClassifier,MinMaxScaler,RandomOverSampler,0.393265962600708,0.9795265967193967,0.9797394073377008,0.9795265967193967,0.9795243606683635,0.9966216580587212
LGBMClassifier,None,RandomOverSampler,0.3964691162109375,0.9800903297752143,0.9803295195127364,0.9800903297752143,0.9800878623875917,0.9967941494726741
LGBMClassifier,StandardScaler,RandomUnderSampler,0.3502180576324463,0.8565006385696041,0.8587667782687092,0.8565006385696041,0.8562719645088332,0.9089831381157968
LGBMClassifier,MinMaxScaler,RandomUnderSampler,0.34374403953552246,0.8569908167609317,0.8592451310897161,0.8569908167609317,0.8567671653444933,0.9110714543996806
LGBMClassifier,None,RandomUnderSampler,0.34455394744873047,0.8589661254029071,0.8609532298214985,0.8589661254029071,0.8587713529620655,0.9064481252172877
